srcNodeId	srcNodeType	dstNodeId	dstNodeType	rel	status	mimeType	remoteIpAddress	fromServiceWorker
b17d37660b9c32a03ccbb7f5bf4dc100	Resource	8_D209C1B32E8178359D7E0707ECA6F840_CCC16432E81CA21B66CA4B964B65C6BD	Script	respond	200	text/javascript	Unknown	False
2a3694ecd220c811ce9d372d77ec13cd	Resource	8_D209C1B32E8178359D7E0707ECA6F840_CCC16432E81CA21B66CA4B964B65C6BD	Script	respond	200	text/javascript	Unknown	False
981482e1eb98b67ad270847e072d82bb	Resource	8_D209C1B32E8178359D7E0707ECA6F840_CCC16432E81CA21B66CA4B964B65C6BD	Script	respond	200	text/javascript	Unknown	False
7a66fa2b025e7d7755871eb7f2d1edac	Resource	8_D209C1B32E8178359D7E0707ECA6F840_CCC16432E81CA21B66CA4B964B65C6BD	Script	respond	200	text/javascript	Unknown	False
7e1d01ff63969ef52d96a6a56f1305a8	Resource	8_D209C1B32E8178359D7E0707ECA6F840_CCC16432E81CA21B66CA4B964B65C6BD	Script	respond	200	text/javascript	Unknown	False
501c6307155436afa9b4db2da2e3f7fa	Resource	8_D209C1B32E8178359D7E0707ECA6F840_CCC16432E81CA21B66CA4B964B65C6BD	Script	respond	200	text/javascript	Unknown	False
c8dea72d2e4e1cc3d2200125088e84bf	Resource	8_D209C1B32E8178359D7E0707ECA6F840_CCC16432E81CA21B66CA4B964B65C6BD	Script	respond	200	text/javascript	Unknown	False
3127ebd18080400a55c3ad65c6bea691	Resource	8_D209C1B32E8178359D7E0707ECA6F840_CCC16432E81CA21B66CA4B964B65C6BD	Script	respond	200	text/javascript	Unknown	False
c0624208c196f510823313f1fd1b7819	Resource	8_D209C1B32E8178359D7E0707ECA6F840_CCC16432E81CA21B66CA4B964B65C6BD	Script	respond	200	text/javascript	Unknown	False
69cb618a818921eaf65133dd4d016e27	Resource	8_D209C1B32E8178359D7E0707ECA6F840_CCC16432E81CA21B66CA4B964B65C6BD	Script	respond	200	text/javascript	Unknown	False
