srcNodeId	srcNodeType	dstNodeId	dstNodeType	rel	wallTime	hasUserGesture	method	referrerPolicy	type
DD43D910B8E30DA3F16F8B5C984CCA91_F13A546BADC196B495E95DF2DC855ACA	Frame	b1e6a933aa0ff5ea15a34a2ad9959f6b	Resource	request	1763005690.261044	False	GET	strict-origin-when-cross-origin	
DD43D910B8E30DA3F16F8B5C984CCA91_F13A546BADC196B495E95DF2DC855ACA	Frame	cc622cd35305fa4e8726b8249e206d18	Resource	request	1763005690.262559	False	GET	strict-origin-when-cross-origin	
DD43D910B8E30DA3F16F8B5C984CCA91_F13A546BADC196B495E95DF2DC855ACA	Frame	2110e24e24492d9e84a582ae1b103fc9	Resource	request	1763005690.665197	False	GET	same-origin	
DD43D910B8E30DA3F16F8B5C984CCA91_F13A546BADC196B495E95DF2DC855ACA	Frame	3af6f827c930b4eb1bbfc7919a93bcbd	Resource	request	1763005690.665407	False	GET	same-origin	
DD43D910B8E30DA3F16F8B5C984CCA91_F13A546BADC196B495E95DF2DC855ACA	Frame	a5cceaebaecd115ba9593cadcec308a8	Resource	request	1763005690.665513	False	GET	same-origin	
DD43D910B8E30DA3F16F8B5C984CCA91_F13A546BADC196B495E95DF2DC855ACA	Frame	fa23745d4e6bc99d0e191c82e00f6cf9	Resource	request	1763005690.665598	False	GET	same-origin	
DD43D910B8E30DA3F16F8B5C984CCA91_F13A546BADC196B495E95DF2DC855ACA	Frame	8b11cdf1459a34b4401cadbb9adc5bb1	Resource	request	1763005690.665669	False	GET	same-origin	
DD43D910B8E30DA3F16F8B5C984CCA91_F13A546BADC196B495E95DF2DC855ACA	Frame	4352c71c7dbf3ea299f6e8f75552d037	Resource	request	1763005690.665722	False	GET	same-origin	
DD43D910B8E30DA3F16F8B5C984CCA91_F13A546BADC196B495E95DF2DC855ACA	Frame	5_DD43D910B8E30DA3F16F8B5C984CCA91_F13A546BADC196B495E95DF2DC855ACA	Script	compile					
DD43D910B8E30DA3F16F8B5C984CCA91_F13A546BADC196B495E95DF2DC855ACA	Frame	6_DD43D910B8E30DA3F16F8B5C984CCA91_F13A546BADC196B495E95DF2DC855ACA	Script	compile					
DD43D910B8E30DA3F16F8B5C984CCA91_F13A546BADC196B495E95DF2DC855ACA	Frame	7_DD43D910B8E30DA3F16F8B5C984CCA91_F13A546BADC196B495E95DF2DC855ACA	Script	compile					
DD43D910B8E30DA3F16F8B5C984CCA91_F13A546BADC196B495E95DF2DC855ACA	Frame	48d1e9cdfb4d5ee53ae41991e0117247	Resource	request	1763005690.686691	False	GET	strict-origin-when-cross-origin	
DD43D910B8E30DA3F16F8B5C984CCA91_F13A546BADC196B495E95DF2DC855ACA	Frame	44c4e0cb57730a9bb85bad6da049fd63	Resource	request	1763005690.699831	False	GET	same-origin	
D209C1B32E8178359D7E0707ECA6F840_CCC16432E81CA21B66CA4B964B65C6BD	Frame	54018db73cd354e7a2f61e8918611b63	Resource	request	1763005698.344221	False	GET	strict-origin-when-cross-origin	
D209C1B32E8178359D7E0707ECA6F840_CCC16432E81CA21B66CA4B964B65C6BD	Frame	227f2211426c353b2ecec0efd91f23ab	Resource	request	1763005698.34427	False	GET	strict-origin-when-cross-origin	
D209C1B32E8178359D7E0707ECA6F840_CCC16432E81CA21B66CA4B964B65C6BD	Frame	eef53a3e369403583e89b69cbcfd3c88	Resource	request	1763005698.344338	False	GET	strict-origin-when-cross-origin	
D209C1B32E8178359D7E0707ECA6F840_CCC16432E81CA21B66CA4B964B65C6BD	Frame	90272194f62cbb330008a1b5693afde2	Resource	request	1763005698.409001	False	GET	same-origin	
D209C1B32E8178359D7E0707ECA6F840_CCC16432E81CA21B66CA4B964B65C6BD	Frame	364ce1fc4254551ae752a398010e4007	Resource	request	1763005762.213763	False	GET	same-origin	
D209C1B32E8178359D7E0707ECA6F840_CCC16432E81CA21B66CA4B964B65C6BD	Frame	ba325ecb93559bf79751096c1dcf48be	Resource	request	1763005762.213807	False	GET	same-origin	
D209C1B32E8178359D7E0707ECA6F840_CCC16432E81CA21B66CA4B964B65C6BD	Frame	c9e47c852aa17d312fe943f390215577	Resource	request	1763005762.21383	False	GET	same-origin	
D209C1B32E8178359D7E0707ECA6F840_CCC16432E81CA21B66CA4B964B65C6BD	Frame	23721fa95ec217a738222af778ba4df2	Resource	request	1763005762.213851	False	GET	same-origin	
D209C1B32E8178359D7E0707ECA6F840_CCC16432E81CA21B66CA4B964B65C6BD	Frame	30f03961cc6971669e8d556ae4589ee0	Resource	request	1763005762.213872	False	GET	same-origin	
D209C1B32E8178359D7E0707ECA6F840_CCC16432E81CA21B66CA4B964B65C6BD	Frame	c55dc3b5b6dcf364ae2439ab739edb66	Resource	request	1763005762.22324	False	GET	same-origin	
D209C1B32E8178359D7E0707ECA6F840_72DFC953581E8BA613D4BA55E04B9701	Frame	5_D209C1B32E8178359D7E0707ECA6F840_72DFC953581E8BA613D4BA55E04B9701	Script	compile					
D209C1B32E8178359D7E0707ECA6F840_72DFC953581E8BA613D4BA55E04B9701	Frame	6_D209C1B32E8178359D7E0707ECA6F840_72DFC953581E8BA613D4BA55E04B9701	Script	compile					
D209C1B32E8178359D7E0707ECA6F840_72DFC953581E8BA613D4BA55E04B9701	Frame	7_D209C1B32E8178359D7E0707ECA6F840_72DFC953581E8BA613D4BA55E04B9701	Script	compile					
D209C1B32E8178359D7E0707ECA6F840_72DFC953581E8BA613D4BA55E04B9701	Frame	8_D209C1B32E8178359D7E0707ECA6F840_72DFC953581E8BA613D4BA55E04B9701	Script	compile					
D209C1B32E8178359D7E0707ECA6F840_72DFC953581E8BA613D4BA55E04B9701	Frame	9_D209C1B32E8178359D7E0707ECA6F840_72DFC953581E8BA613D4BA55E04B9701	Script	compile					
D209C1B32E8178359D7E0707ECA6F840_72DFC953581E8BA613D4BA55E04B9701	Frame	10_D209C1B32E8178359D7E0707ECA6F840_72DFC953581E8BA613D4BA55E04B9701	Script	compile					
D209C1B32E8178359D7E0707ECA6F840_72DFC953581E8BA613D4BA55E04B9701	Frame	cbe3e210071e22c6ee51a448b0089a4e	Resource	request	1763005800.643233	False	GET	origin	
D209C1B32E8178359D7E0707ECA6F840_72DFC953581E8BA613D4BA55E04B9701	Frame	11_D209C1B32E8178359D7E0707ECA6F840_72DFC953581E8BA613D4BA55E04B9701	Script	compile					
D209C1B32E8178359D7E0707ECA6F840_72DFC953581E8BA613D4BA55E04B9701	Frame	12_D209C1B32E8178359D7E0707ECA6F840_72DFC953581E8BA613D4BA55E04B9701	Script	compile					
D209C1B32E8178359D7E0707ECA6F840_72DFC953581E8BA613D4BA55E04B9701	Frame	13_D209C1B32E8178359D7E0707ECA6F840_72DFC953581E8BA613D4BA55E04B9701	Script	compile					
D209C1B32E8178359D7E0707ECA6F840_72DFC953581E8BA613D4BA55E04B9701	Frame	14_D209C1B32E8178359D7E0707ECA6F840_72DFC953581E8BA613D4BA55E04B9701	Script	compile					
D209C1B32E8178359D7E0707ECA6F840_72DFC953581E8BA613D4BA55E04B9701	Frame	16_D209C1B32E8178359D7E0707ECA6F840_72DFC953581E8BA613D4BA55E04B9701	Script	compile					
D209C1B32E8178359D7E0707ECA6F840_72DFC953581E8BA613D4BA55E04B9701	Frame	17_D209C1B32E8178359D7E0707ECA6F840_72DFC953581E8BA613D4BA55E04B9701	Script	compile					
D209C1B32E8178359D7E0707ECA6F840_72DFC953581E8BA613D4BA55E04B9701	Frame	18_D209C1B32E8178359D7E0707ECA6F840_72DFC953581E8BA613D4BA55E04B9701	Script	compile					
D209C1B32E8178359D7E0707ECA6F840_72DFC953581E8BA613D4BA55E04B9701	Frame	19_D209C1B32E8178359D7E0707ECA6F840_72DFC953581E8BA613D4BA55E04B9701	Script	compile					
D209C1B32E8178359D7E0707ECA6F840_72DFC953581E8BA613D4BA55E04B9701	Frame	20_D209C1B32E8178359D7E0707ECA6F840_72DFC953581E8BA613D4BA55E04B9701	Script	compile					
D209C1B32E8178359D7E0707ECA6F840_72DFC953581E8BA613D4BA55E04B9701	Frame	21_D209C1B32E8178359D7E0707ECA6F840_72DFC953581E8BA613D4BA55E04B9701	Script	compile					
D209C1B32E8178359D7E0707ECA6F840_72DFC953581E8BA613D4BA55E04B9701	Frame	22_D209C1B32E8178359D7E0707ECA6F840_72DFC953581E8BA613D4BA55E04B9701	Script	compile					
D209C1B32E8178359D7E0707ECA6F840_72DFC953581E8BA613D4BA55E04B9701	Frame	23_D209C1B32E8178359D7E0707ECA6F840_72DFC953581E8BA613D4BA55E04B9701	Script	compile					
D209C1B32E8178359D7E0707ECA6F840_72DFC953581E8BA613D4BA55E04B9701	Frame	24_D209C1B32E8178359D7E0707ECA6F840_72DFC953581E8BA613D4BA55E04B9701	Script	compile					
D209C1B32E8178359D7E0707ECA6F840_72DFC953581E8BA613D4BA55E04B9701	Frame	25_D209C1B32E8178359D7E0707ECA6F840_72DFC953581E8BA613D4BA55E04B9701	Script	compile					
D209C1B32E8178359D7E0707ECA6F840_72DFC953581E8BA613D4BA55E04B9701	Frame	26_D209C1B32E8178359D7E0707ECA6F840_72DFC953581E8BA613D4BA55E04B9701	Script	compile					
D209C1B32E8178359D7E0707ECA6F840_72DFC953581E8BA613D4BA55E04B9701	Frame	27_D209C1B32E8178359D7E0707ECA6F840_72DFC953581E8BA613D4BA55E04B9701	Script	compile					
D209C1B32E8178359D7E0707ECA6F840_72DFC953581E8BA613D4BA55E04B9701	Frame	15_D209C1B32E8178359D7E0707ECA6F840_72DFC953581E8BA613D4BA55E04B9701	Script	compile					
D209C1B32E8178359D7E0707ECA6F840_72DFC953581E8BA613D4BA55E04B9701	Frame	7e205c235bdb1d9004a17a7dfa86cb5d	Resource	request	1763005800.685387	False	GET	strict-origin-when-cross-origin	
D209C1B32E8178359D7E0707ECA6F840_72DFC953581E8BA613D4BA55E04B9701	Frame	28_D209C1B32E8178359D7E0707ECA6F840_72DFC953581E8BA613D4BA55E04B9701	Script	compile					
D209C1B32E8178359D7E0707ECA6F840_72DFC953581E8BA613D4BA55E04B9701	Frame	29_D209C1B32E8178359D7E0707ECA6F840_72DFC953581E8BA613D4BA55E04B9701	Script	compile					
D209C1B32E8178359D7E0707ECA6F840_72DFC953581E8BA613D4BA55E04B9701	Frame	30_D209C1B32E8178359D7E0707ECA6F840_72DFC953581E8BA613D4BA55E04B9701	Script	compile					
D209C1B32E8178359D7E0707ECA6F840_72DFC953581E8BA613D4BA55E04B9701	Frame	31_D209C1B32E8178359D7E0707ECA6F840_72DFC953581E8BA613D4BA55E04B9701	Script	compile					
D209C1B32E8178359D7E0707ECA6F840_72DFC953581E8BA613D4BA55E04B9701	Frame	32_D209C1B32E8178359D7E0707ECA6F840_72DFC953581E8BA613D4BA55E04B9701	Script	compile					
D209C1B32E8178359D7E0707ECA6F840_72DFC953581E8BA613D4BA55E04B9701	Frame	33_D209C1B32E8178359D7E0707ECA6F840_72DFC953581E8BA613D4BA55E04B9701	Script	compile					
D209C1B32E8178359D7E0707ECA6F840_72DFC953581E8BA613D4BA55E04B9701	Frame	34_D209C1B32E8178359D7E0707ECA6F840_72DFC953581E8BA613D4BA55E04B9701	Script	compile					
D209C1B32E8178359D7E0707ECA6F840_72DFC953581E8BA613D4BA55E04B9701	Frame	36_D209C1B32E8178359D7E0707ECA6F840_72DFC953581E8BA613D4BA55E04B9701	Script	compile					
D209C1B32E8178359D7E0707ECA6F840_72DFC953581E8BA613D4BA55E04B9701	Frame	35_D209C1B32E8178359D7E0707ECA6F840_72DFC953581E8BA613D4BA55E04B9701	Script	compile					
D209C1B32E8178359D7E0707ECA6F840_72DFC953581E8BA613D4BA55E04B9701	Frame	61DE3D5C9A9DC4080E01C1E69A1892A0_EB7DC25756EA58B976D9D6FA25352FE1	Frame	attach					
D209C1B32E8178359D7E0707ECA6F840_72DFC953581E8BA613D4BA55E04B9701	Frame	61DE3D5C9A9DC4080E01C1E69A1892A0_EB7DC25756EA58B976D9D6FA25352FE1	Frame	navigate					
