srcNodeId	srcNodeType	dstNodeId	dstNodeType	rel	wallTime	hasUserGesture	method	referrerPolicy	windowName	type
77BD191BAAE37257C019E8F00AA56084_92B1801E5A2CB6C863EB8F1FA341BA37	Frame	21_77BD191BAAE37257C019E8F00AA56084_92B1801E5A2CB6C863EB8F1FA341BA37	Script	compile						
77BD191BAAE37257C019E8F00AA56084_92B1801E5A2CB6C863EB8F1FA341BA37	Frame	22_77BD191BAAE37257C019E8F00AA56084_92B1801E5A2CB6C863EB8F1FA341BA37	Script	compile						
77BD191BAAE37257C019E8F00AA56084_92B1801E5A2CB6C863EB8F1FA341BA37	Frame	23_77BD191BAAE37257C019E8F00AA56084_92B1801E5A2CB6C863EB8F1FA341BA37	Script	compile						
77BD191BAAE37257C019E8F00AA56084_92B1801E5A2CB6C863EB8F1FA341BA37	Frame	24_77BD191BAAE37257C019E8F00AA56084_92B1801E5A2CB6C863EB8F1FA341BA37	Script	compile						
77BD191BAAE37257C019E8F00AA56084_92B1801E5A2CB6C863EB8F1FA341BA37	Frame	25_77BD191BAAE37257C019E8F00AA56084_92B1801E5A2CB6C863EB8F1FA341BA37	Script	compile						
77BD191BAAE37257C019E8F00AA56084_92B1801E5A2CB6C863EB8F1FA341BA37	Frame	26_77BD191BAAE37257C019E8F00AA56084_92B1801E5A2CB6C863EB8F1FA341BA37	Script	compile						
77BD191BAAE37257C019E8F00AA56084_92B1801E5A2CB6C863EB8F1FA341BA37	Frame	27_77BD191BAAE37257C019E8F00AA56084_92B1801E5A2CB6C863EB8F1FA341BA37	Script	compile						
77BD191BAAE37257C019E8F00AA56084_92B1801E5A2CB6C863EB8F1FA341BA37	Frame	28_77BD191BAAE37257C019E8F00AA56084_92B1801E5A2CB6C863EB8F1FA341BA37	Script	compile						
77BD191BAAE37257C019E8F00AA56084_92B1801E5A2CB6C863EB8F1FA341BA37	Frame	29_77BD191BAAE37257C019E8F00AA56084_92B1801E5A2CB6C863EB8F1FA341BA37	Script	compile						
77BD191BAAE37257C019E8F00AA56084_92B1801E5A2CB6C863EB8F1FA341BA37	Frame	30_77BD191BAAE37257C019E8F00AA56084_92B1801E5A2CB6C863EB8F1FA341BA37	Script	compile						
